ID,Z_LAMBDA,LAMBDA,Mbar,Mdm,R200_kpc,sigma_v_obs,sigma_v_gpf,ratio,n_members
624,0.3765000104904175,108.6500015258789,108650001525878.9,9845599631097.914,133.26246093424993,2699.1075430195856,1129.057980629843,0.41830788978742456,11
654,0.1058999970555305,50.119998931884766,50119998931884.766,3332851888904.087,83.77156305757919,10048.539334556186,956.4365670309476,0.09518165130148147,28
657,0.1177000030875206,51.88999938964844,51889999389648.44,3498788349235.26,85.53427652629713,2528.9537343025318,963.5181100906381,0.3809947556657733,21
697,0.18019999563694,60.65999984741211,60659999847412.11,4353754202708.0776,93.93586306066774,3140.4966802364193,996.1069084127313,0.3171813282533843,16
717,0.1114000007510185,50.790000915527344,50790000915527.34,3395392998496.593,84.44169053975631,2373.8357177015246,959.1393367185545,0.40404621497870324,30
731,0.1081999987363815,54.09999847412109,54099998474121.086,3709169618531.0483,87.70176602305932,2021.2562599611254,972.1051313007229,0.4809410615353737,25
733,0.1518999934196472,50.220001220703125,50220001220703.125,3342165457960.947,83.87181056362445,683.8030608858168,956.8417225703851,1.3992942958325847,15
737,0.1636999994516372,53.09000015258789,53090000152587.89,3612587351961.1196,86.71567778088661,639.4632393978558,968.2147006509491,1.5141053324076281,10
738,0.1689999997615814,53.869998931884766,53869998931884.766,3687111690953.956,87.47786341371018,2958.435256805712,971.2241069949572,0.3282897960199438,10
752,0.1324999928474426,56.77999877929688,56779998779296.88,3968935765929.075,90.2832562288391,1785.9130423756608,982.1657166713785,0.5499515896725184,30
780,0.1303000003099441,48.29999923706055,48299999237060.55,3164656032483.6323,81.9328876281601,678.0785166108976,948.9524435806361,1.3994728048952099,13
817,0.1402000039815902,53.119998931884766,53119998931884.766,3615445510538.4385,86.7450739447569,993.7127755436605,968.3310656619941,0.9744576999447551,14
837,0.1261000037193298,50.970001220703125,50970001220703.125,3412251563595.8613,84.62112083052656,4106.619414116869,959.8607994797251,0.2337350269616216,14
869,0.1740999966859817,54.65999984741211,54659999847412.11,3763032909620.8853,88.24533633060175,668.6789352684393,974.2383306412253,1.4569598042596033,11
877,0.2816999852657318,69.29000091552734,69290000915527.34,5244925620695.589,101.74013913937102,3087.3951297323697,1024.832277792718,0.33194075741175233,11
894,0.1485999971628189,53.31999969482422,53319999694824.22,3634517241533.0522,86.94088765075166,641.7482638959102,969.1055850977267,1.510102386899348,11
905,0.1368999928236007,54.209999084472656,54209999084472.66,3719732418917.696,87.80871606369864,4454.043527898398,972.5254818651186,0.21834664968440406,14
908,0.1552000045776367,52.18000030517578,52180000305175.78,3526194373168.4863,85.82077525424228,5139.725472229688,964.6606752178844,0.18768719855370028,10
915,0.1181999966502189,44.630001068115234,44630001068115.234,2833206281404.966,78.13868988426997,556.8982465366307,933.1780689767749,1.6756706898975553,19
916,0.1059999987483024,40.45000076293945,40450000762939.45,2468803291030.1772,73.66159314177744,970.1041683997182,913.9497054480996,0.9421150173550425,28
928,0.100500002503395,52.220001220703125,52220001220703.125,3529979380352.648,85.86024305898883,4118.086306235859,964.8178919880994,0.23428792410861152,34
934,0.1076999977231025,45.84999847412109,45849998474121.086,2942223064349.375,79.41336197501583,2862.6054233097934,938.5286832905823,0.32785820764827567,28
996,0.1309999972581863,40.63999938964844,40639999389648.44,2485053309701.5806,73.86899708048354,969.1758777473136,914.8560473309244,0.9439525563279118,16
1004,0.1151999980211258,52.619998931884766,52619998931884.766,3567892073497.8955,86.254246964552,2869.5431577746476,966.3849698610693,0.33677310872386673,22
1007,0.1809999942779541,47.369998931884766,47369998931884.766,3079677674905.597,80.98265519213929,6773.164618685075,945.0444423761616,0.1395277533590539,14
1023,0.1476999968290329,47.43000030517578,47430000305175.78,3085140296212.3716,81.04418578630249,1217.1295943054588,945.2983425685951,0.7766620308891748,13
1029,0.1203000023961067,51.720001220703125,51720001220703.125,3482751411441.148,85.36603355959019,6096.323672500066,962.8460667415115,0.1579388035259378,26
1046,0.1229000017046928,37.09999847412109,37099998474121.086,2187378748028.5044,69.93817928514585,4578.725030087327,897.4048296280747,0.19599447962721606,10
1061,0.1485999971628189,44.900001525878906,44900001525878.91,2857231555915.6387,78.42197950693163,2209.4246007564325,934.3718016170537,0.4229027780794856,13
